
2024/11/29 (10:59:41) | ===> btop++ v.1.4.0
2024/11/29 (10:59:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/29 (10:59:41) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/11/29 (10:59:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/29 (11:01:11) | ===> btop++ v.1.4.0
2024/11/29 (11:01:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/29 (11:01:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/11/29 (11:01:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/29 (11:02:07) | ===> btop++ v.1.4.0
2024/11/29 (11:02:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/29 (11:02:07) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/11/29 (11:02:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/29 (11:07:18) | ===> btop++ v.1.4.0
2024/11/29 (11:07:18) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/29 (11:07:18) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/11/29 (11:07:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/29 (11:11:12) | ===> btop++ v.1.4.0
2024/11/29 (11:11:12) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/29 (11:11:12) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/11/29 (11:11:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/29 (14:42:39) | ===> btop++ v.1.4.0
2024/11/29 (14:42:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/11/29 (14:42:39) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/11/29 (14:42:39) | WARNING: Intel GPU: Failed to initialize PMU
